"","Year","Educ_H","Educ_W"
"299",1990,1,2
"300",1990,2,2
"301",1990,2,2
"302",1990,1,1
"303",1990,3,3
"304",1990,3,5
"305",1990,3,3
"306",1990,5,3
"307",1990,3,5
"308",1990,5,5
"309",1990,3,3
"310",1990,5,3
"311",1990,5,4
"312",1990,3,3
"313",1990,3,3
"314",1990,4,4
"315",1990,1,4
"316",1990,4,4
"317",1990,1,1
"318",1990,2,2
"319",1990,2,1
"320",1990,3,3
"321",1990,2,2
"322",1990,2,2
"323",1990,3,2
"324",1990,2,2
"325",1990,2,2
"326",1990,1,1
"327",1990,2,4
"328",1990,3,4
"329",1990,2,2
"330",1990,5,3
"331",1990,3,3
"332",1990,1,1
"333",1990,1,1
"334",1990,1,1
"335",1990,3,3
"336",1990,3,5
"337",1990,5,5
"338",1990,5,3
"339",1990,3,3
"340",1990,3,3
"341",1990,2,1
"342",1990,2,1
"343",1990,2,2
"344",1990,2,1
"345",1990,2,1
"346",1990,2,1
"347",1990,1,1
"348",1990,2,1
"349",1990,1,1
"350",1990,2,2
"351",1990,1,2
"352",1990,1,2
"353",1990,1,1
"354",1990,1,1
"355",1990,1,1
"356",1990,1,2
"357",1990,2,3
"358",1990,2,1
"359",1990,3,4
"360",1990,3,3
"361",1990,3,1
"362",1990,2,2
"363",1990,2,2
"364",1990,2,3
"365",1990,5,5
"366",1990,4,2
"367",1990,3,1
"368",1990,5,5
"369",1990,5,5
"370",1990,5,3
"371",1990,5,3
"372",1990,1,1
"373",1990,1,1
"374",1990,2,2
"375",1990,2,2
"376",1990,2,2
"377",1990,1,2
"378",1990,2,2
"379",1990,3,2
"380",1990,2,2
"381",1990,3,2
"382",1990,2,2
"383",1990,2,2
"384",1990,2,2
"385",1990,2,2
"386",1990,2,1
"387",1990,2,2
"388",1990,3,3
"389",1990,2,2
"390",1990,1,2
"391",1990,2,2
"392",1990,3,3
"393",1990,3,5
"394",1990,2,2
"395",1990,2,1
"396",1990,3,2
"397",1990,2,3
"398",1990,2,2
"399",1990,2,2
"400",1990,2,2
"401",1990,5,4
"402",1990,3,3
"403",1990,3,3
"404",1990,3,3
"405",1990,4,4
"406",1990,5,5
"407",1990,4,5
"408",1990,5,3
"409",1990,3,2
"410",1990,2,1
"411",1990,2,2
"412",1990,3,2
"413",1990,3,5
"414",1990,5,5
"415",1990,3,3
"416",1990,4,3
"417",1990,4,5
"418",1990,3,3
"419",1990,5,5
"420",1990,3,5
"421",1990,5,3
"422",1990,5,4
"423",1990,4,2
"424",1990,5,3
"425",1990,2,2
"426",1990,1,1
"427",1990,2,1
"428",1990,2,2
"429",1990,2,3
"430",1990,1,1
"431",1990,1,1
"432",1990,1,1
"433",1990,2,2
"434",1990,1,2
"435",1990,2,1
"436",1990,1,1
"437",1990,3,2
"438",1990,2,1
"439",1990,2,3
"440",1990,2,3
"441",1990,1,1
"442",1990,2,1
"443",1990,2,2
"444",1990,3,2
"445",1990,2,2
"446",1990,3,1
"447",1990,3,3
"448",1990,2,2
"449",1990,5,5
"450",1990,3,4
"451",1990,2,2
"452",1990,2,4
"453",1990,5,5
"454",1990,2,3
"455",1990,4,4
"456",1990,4,3
"457",1990,2,2
"458",1990,2,2
"459",1990,3,2
"460",1990,2,2
"461",1990,4,2
"462",1990,2,2
"463",1990,2,2
"464",1990,2,1
"465",1990,2,2
"466",1990,2,2
"467",1990,2,2
"468",1990,1,1
"469",1990,2,1
"470",1990,2,3
"471",1990,1,1
"472",1990,5,4
"473",1990,2,3
"474",1990,2,2
"475",1990,2,2
"476",1990,2,2
"477",1990,2,2
"478",1990,3,2
"479",1990,2,3
"480",1990,2,2
"481",1990,3,1
"482",1990,1,2
"483",1990,2,2
"484",1990,1,1
"485",1990,1,2
"486",1990,1,2
"487",1990,2,2
"488",1990,2,2
"489",1990,2,2
"490",1990,1,1
"491",1990,2,1
"492",1990,1,1
"493",1990,1,1
"494",1990,1,1
"495",1990,3,2
"496",1990,2,2
"497",1990,3,2
"498",1990,2,3
"499",1990,2,1
"500",1990,4,4
"501",1990,3,3
"502",1990,3,3
"503",1990,3,3
"504",1990,3,3
"505",1990,3,3
"506",1990,3,2
"507",1990,2,2
"508",1990,1,1
"509",1990,4,3
"510",1990,5,5
"511",1990,2,1
"512",1990,2,2
"513",1990,1,2
"514",1990,2,2
"515",1990,2,2
"516",1990,5,5
"517",1990,1,1
"518",1990,1,1
"519",1990,1,1
"520",1990,1,1
"521",1990,2,1
"522",1990,2,2
"523",1990,2,2
"524",1990,2,2
"525",1990,2,1
"526",1990,2,2
"527",1990,1,1
"528",1990,3,3
"529",1990,2,2
"530",1990,3,2
"531",1990,3,1
"532",1990,3,3
"533",1990,3,3
"534",1990,2,3
"535",1990,2,2
"536",1990,3,3
"537",1990,1,1
"538",1990,1,1
"539",1990,2,2
"540",1990,1,1
"541",1990,2,2
"542",1990,1,2
"543",1990,1,2
"544",1990,2,1
"545",1990,2,1
"546",1990,3,2
"547",1990,1,2
"548",1990,1,1
"549",1990,2,2
"550",1990,2,2
"551",1990,2,3
"552",1990,3,3
"553",1990,3,3
"554",1990,2,2
"555",1990,2,2
"556",1990,2,1
"557",1990,4,3
"558",1990,3,2
"559",1990,1,2
"560",1990,1,1
"561",1990,2,2
"562",1990,3,3
"563",1990,1,3
"564",1990,2,1
"565",1990,3,3
"566",1990,4,4
"567",1990,5,3
"568",1990,3,3
"569",1990,2,1
"570",1990,2,1
"571",1990,2,1
"572",1990,3,3
"573",1990,2,2
"574",1990,1,1
"575",1990,1,2
"576",1990,2,2
"577",1990,2,3
"578",1990,2,3
"579",1990,1,3
"580",1990,5,2
"581",1990,2,2
"582",1990,1,1
"583",1990,1,2
"584",1990,5,5
"585",1990,3,3
"586",1990,1,1
"587",1990,1,2
"588",1990,1,1
"589",1990,2,3
"590",1990,1,3
"591",1990,2,4
"592",1990,3,3
"593",1990,1,1
"594",1990,3,3
"595",1990,1,1
"596",1990,1,2
"597",1990,3,3
"598",1990,5,3
"599",1990,3,3
"600",1990,2,2
"601",1990,3,5
"602",1990,2,1
"603",1990,2,2
"604",1990,2,2
"605",1990,3,3
"606",1990,2,4
"607",1990,4,4
"608",1990,2,2
"609",1990,2,2
"610",1990,2,2
"611",1990,2,1
"612",1990,4,1
"613",1990,4,3
"614",1990,3,2
"615",1990,2,3
"616",1990,4,3
"617",1990,2,2
"618",1990,2,2
"619",1990,2,1
"620",1990,1,1
"621",1990,1,1
"622",1990,2,2
"623",1990,3,3
"624",1990,1,1
"625",1990,2,2
"626",1990,2,2
"627",1990,3,2
"628",1990,1,1
"629",1990,2,1
"630",1990,1,1
"631",1990,3,2
"632",1990,5,5
"633",1990,3,3
"634",1990,5,5
"635",1990,5,5
"636",1990,4,2
"637",1990,3,1
"638",1990,3,3
"639",1990,2,2
"640",1990,3,3
"641",1990,2,2
"642",1990,3,3
"643",1990,1,1
"644",1990,3,2
"645",1990,3,3
"646",1990,2,1
"647",1990,3,3
"648",1990,3,2
"649",1990,3,3
"650",1990,2,2
"651",1990,2,2
"652",1990,3,3
"653",1990,3,2
"654",1990,3,2
"655",1990,4,3
"656",1990,5,5
"657",1990,3,3
"658",1990,2,2
"659",1990,2,1
"660",1990,1,1
"661",1990,4,3
"662",1990,5,3
"663",1990,4,3
"664",1990,3,1
"665",1990,2,3
"666",1990,3,4
"667",1990,3,2
"668",1990,3,3
"669",1990,3,3
"670",1990,3,3
"671",1990,2,2
"672",1990,2,2
"673",1990,2,3
"674",1990,3,2
"675",1990,1,1
"676",1990,1,1
"677",1990,1,1
"678",1990,3,3
"679",1990,1,1
"680",1990,1,1
"681",1990,1,2
"682",1990,3,3
"683",1990,2,2
"684",1990,1,1
"685",1990,3,2
"686",1990,2,3
"687",1990,3,2
"688",1990,1,2
"689",1990,1,1
"690",1990,4,3
"691",1990,3,2
"692",1990,2,4
"693",1990,3,3
"694",1990,2,3
"695",1990,3,3
"696",1990,2,2
"697",1990,3,3
"698",1990,3,3
"699",1990,5,4
"700",1990,3,3
"701",1990,3,3
"702",1990,3,2
"703",1990,2,2
"704",1990,3,4
"705",1990,4,3
"706",1990,4,4
"707",1990,5,5
"708",1990,3,1
"709",1990,4,3
"710",1990,3,3
"711",1990,2,2
"712",1990,1,1
"713",1990,2,1
"714",1990,1,1
"715",1990,5,3
"716",1990,5,5
"717",1990,5,5
"718",1990,3,5
"719",1990,2,3
"720",1990,2,2
"721",1990,2,3
"722",1990,2,2
"723",1990,2,3
"724",1990,4,4
"725",1990,5,3
"726",1990,2,2
"727",1990,3,3
"728",1990,3,3
"729",1990,3,3
"730",1990,3,2
"731",1990,2,3
"732",1990,4,3
"733",1990,2,3
"734",1990,5,4
"735",1990,4,3
"736",1990,3,1
"737",1990,2,2
"738",1990,1,1
"739",1990,5,4
"740",1990,4,2
"741",1990,1,1
"742",1990,1,1
"743",1990,3,1
"744",1990,5,5
"745",1990,2,3
"746",1990,4,4
"747",1990,3,1
"748",1990,1,1
"749",1990,3,1
"750",1990,2,2
"751",1990,2,2
"752",1990,2,1
"753",1990,3,3
"754",1990,3,3
"755",1990,3,3
"756",1990,1,1
"757",1990,3,3
"758",1990,2,3
"759",1990,1,2
"760",1990,3,2
"761",1990,3,2
"762",1990,2,2
"763",1990,5,3
"764",1990,4,2
"765",1990,1,1
"766",1990,2,3
"767",1990,2,2
"768",1990,2,1
"769",1990,3,1
"770",1990,4,2
"771",1990,2,2
"772",1990,1,1
"773",1990,1,2
"774",1990,1,1
"775",1990,1,1
"776",1990,1,2
"777",1990,3,2
"778",1990,1,1
"779",1990,2,2
"780",1990,2,1
"781",1990,5,3
"782",1990,2,1
"783",1990,4,3
"784",1990,3,3
"785",1990,3,3
"786",1990,1,1
"787",1990,1,1
"788",1990,2,1
"789",1990,1,1
"790",1990,1,1
"791",1990,1,2
"792",1990,1,1
"793",1990,1,1
"794",1990,1,1
"795",1990,3,1
"796",1990,1,2
"797",1990,3,3
"798",1990,2,2
"799",1990,3,4
"800",1990,3,2
"801",1990,2,3
"802",1990,1,1
"803",1990,1,1
"804",1990,4,4
"805",1990,3,3
"806",1990,3,2
"807",1990,3,3
"808",1990,3,3
"809",1990,3,2
"810",1990,3,2
"811",1990,3,2
"812",1990,3,4
"813",1990,3,2
"814",1990,3,3
"815",1990,3,3
"816",1990,3,2
"817",1990,3,2
"818",1990,2,1
"819",1990,2,1
"820",1990,1,1
"821",1990,1,1
"822",1990,1,2
"823",1990,2,2
"824",1990,1,1
"825",1990,2,1
"826",1990,1,2
"827",1990,1,1
"828",1990,5,3
"829",1990,1,1
"830",1990,1,1
"831",1990,1,1
"832",1990,1,2
"833",1990,1,1
"834",1990,1,2
"835",1990,2,1
"836",1990,2,1
"837",1990,5,4
"838",1990,2,2
"839",1990,1,1
"840",1990,1,1
"841",1990,2,1
"842",1990,1,2
"843",1990,3,3
"844",1990,2,1
"845",1990,2,3
"846",1990,1,1
"847",1990,3,5
"848",1990,2,3
"849",1990,2,2
"850",1990,2,2
"851",1990,3,3
"852",1990,2,5
"853",1990,5,3
"854",1990,2,2
"855",1990,2,2
"856",1990,5,3
"857",1990,1,2
"858",1990,3,3
"859",1990,1,2
"860",1990,2,2
"861",1990,2,3
"862",1990,3,3
"863",1990,1,1
"864",1990,2,2
"865",1990,3,1
"866",1990,2,1
"867",1990,2,1
"868",1990,2,2
"869",1990,1,1
"870",1990,1,1
"871",1990,2,2
"872",1990,2,2
"873",1990,5,5
"874",1990,2,3
"875",1990,2,2
"876",1990,1,2
"877",1990,3,2
"878",1990,2,2
"879",1990,3,2
"880",1990,1,3
"881",1990,1,2
"882",1990,2,2
"883",1990,2,3
"884",1990,2,1
"885",1990,1,1
"886",1990,1,1
"887",1990,1,3
"888",1990,2,2
"889",1990,3,1
"890",1990,2,2
"891",1990,3,4
"892",1990,1,1
"893",1990,1,1
"894",1990,1,1
"895",1990,1,1
"896",1990,3,3
"897",1990,3,2
"898",1990,2,3
"899",1990,5,5
"900",1990,2,2
"901",1990,5,2
"902",1990,2,2
"903",1990,3,2
"904",1990,1,1
"905",1990,3,3
"906",1990,2,2
"907",1990,5,4
"908",1990,1,1
"909",1990,2,1
"910",1990,3,4
"911",1990,2,1
"912",1990,1,1
"913",1990,2,1
"914",1990,1,1
"915",1990,1,3
"916",1990,2,1
"917",1990,2,2
"918",1990,1,1
"919",1990,2,1
"920",1990,2,1
"921",1990,1,1
"922",1990,1,1
"923",1990,1,2
"924",1990,1,1
"925",1990,1,1
"926",1990,1,1
"927",1990,2,1
"928",1990,2,3
"929",1990,1,1
"930",1990,1,2
"931",1990,3,2
"932",1990,1,1
"933",1990,3,5
"934",1990,4,5
"935",1990,1,2
"936",1990,3,3
"937",1990,1,2
"938",1990,1,1
"939",1990,3,3
"940",1990,5,5
"941",1990,5,4
"942",1990,2,3
"943",1990,2,3
"944",1990,5,4
"945",1990,3,3
"946",1990,2,2
"947",1990,2,2
"948",1990,2,1
"949",1990,1,1
"950",1990,2,2
"951",1990,3,2
"952",1990,1,1
"953",1990,3,3
"954",1990,2,1
"955",1990,1,2
"956",1990,1,1
"957",1990,1,1
"958",1990,2,1
"959",1990,1,1
"960",1990,2,2
"961",1990,1,1
"962",1990,1,1
"963",1990,2,2
"964",1990,2,1
"965",1990,1,1
"966",1990,2,1
"967",1990,3,1
"968",1990,1,1
"969",1990,2,2
"970",1990,2,3
"971",1990,2,2
"972",1990,5,3
"973",1990,4,3
"974",1990,3,5
"975",1990,3,4
"976",1990,2,2
"977",1990,5,5
"978",1990,3,3
"979",1990,1,1
"980",1990,1,2
"981",1990,1,1
"982",1990,1,2
"983",1990,1,2
"984",1990,2,2
"985",1990,2,1
"986",1990,1,1
"987",1990,1,2
"988",1990,1,2
"989",1990,1,1
"990",1990,1,1
"991",1990,1,2
"992",1990,2,1
"993",1990,2,1
"994",1990,1,2
"995",1990,2,3
"996",1990,5,3
"997",1990,2,1
"998",1990,1,2
"999",1990,2,1
"1000",1990,1,1
"1001",1990,2,1
"1002",1990,1,1
"1003",1990,2,1
"1004",1990,1,2
"1005",1990,1,1
"1006",1990,1,1
"1007",1990,1,1
"1008",1990,1,2
"1009",1990,2,1
"1010",1990,3,2
"1011",1990,5,5
"1012",1990,5,5
"1013",1990,3,2
"1014",1990,2,2
"1015",1990,2,2
"1016",1990,4,4
"1017",1990,2,3
"1018",1990,5,5
"1019",1990,1,1
"1020",1990,2,2
"1021",1990,1,1
"1022",1990,1,3
"1023",1990,2,2
"1024",1990,3,2
"1025",1990,1,2
"1026",1990,2,1
"1027",1990,3,3
"1028",1990,2,3
"1029",1990,1,1
"1030",1990,1,1
"1031",1990,2,2
"1032",1990,5,4
"1033",1990,5,5
"1034",1990,1,2
"1035",1990,2,5
"1036",1990,4,2
"1037",1990,2,3
"1038",1990,4,3
"1039",1990,3,3
"1040",1990,1,1
"1041",1990,3,2
"1042",1990,1,1
"1043",1990,5,2
"1044",1990,3,3
"1045",1990,2,2
"1046",1990,3,3
"1047",1990,3,2
"1048",1990,3,3
"1049",1990,2,3
"1050",1990,1,1
"1051",1990,1,2
"1052",1990,2,1
"1053",1990,1,1
"1054",1990,2,2
"1055",1990,1,1
"1056",1990,1,1
"1057",1990,1,1
"1058",1990,1,1
"1059",1990,1,2
"1060",1990,1,5
"1061",1990,2,2
"1062",1990,1,1
"1063",1990,1,1
"1064",1990,1,1
"1065",1990,1,1
"1066",1990,2,4
"1067",1990,2,2
"1068",1990,4,4
"1069",1990,5,3
"1070",1990,3,3
"1071",1990,2,3
"1072",1990,1,1
"1073",1990,1,2
"1074",1990,2,1
"1075",1990,3,1
"1076",1990,1,1
"1077",1990,3,2
"1078",1990,1,2
"1079",1990,1,1
"1080",1990,1,1
"1081",1990,1,1
"1082",1990,2,1
"1083",1990,2,4
"1084",1990,2,1
"1085",1990,1,1
"1086",1990,1,1
"1087",1990,1,1
"1088",1990,1,1
"1089",1990,3,3
"1090",1990,2,3
"1091",1990,1,1
"1092",1990,1,1
"1093",1990,1,1
"1094",1990,1,2
"1095",1990,2,2
"1096",1990,1,1
"1097",1990,2,1
"1098",1990,4,4
"1099",1990,1,1
"1100",1990,2,1
"1101",1990,4,4
"1102",1990,3,3
"1103",1990,2,3
"1104",1990,3,3
"1105",1990,2,1
"1106",1990,2,3
"1107",1990,3,2
"1108",1990,3,3
"1109",1990,3,1
"1110",1990,2,1
"1111",1990,1,1
"1112",1990,1,1
"1113",1990,1,1
"1114",1990,2,3
"1115",1990,2,2
"1116",1990,1,1
"1117",1990,2,2
"1118",1990,1,1
"1119",1990,1,1
"1120",1990,1,1
"1121",1990,2,2
"1122",1990,3,2
"1123",1990,2,2
"1124",1990,3,1
"1125",1990,2,1
"1126",1990,2,2
"1127",1990,2,2
"1128",1990,2,2
"1129",1990,2,2
"1130",1990,2,3
"1131",1990,5,5
"1132",1990,4,4
"1133",1990,2,2
"1134",1990,2,1
"1135",1990,2,2
"1136",1990,2,2
"1137",1990,1,2
"1138",1990,2,3
"1139",1990,3,3
"1140",1990,5,5
"1141",1990,3,5
"1142",1990,1,1
"1143",1990,3,3
"1144",1990,5,5
"1145",1990,4,3
"1146",1990,1,1
"1147",1990,1,2
"1148",1990,1,1
"1149",1990,1,1
"1150",1990,3,3
"1151",1990,2,1
"1152",1990,2,1
"1153",1990,2,1
"1154",1990,2,1
"1155",1990,1,2
"1156",1990,2,1
"1157",1990,2,2
"1158",1990,1,2
"1159",1990,1,1
"1160",1990,1,1
"1161",1990,2,1
"1162",1990,2,2
"1163",1990,2,2
"1164",1990,2,2
"1165",1990,1,1
"1166",1990,2,2
"1167",1990,1,2
"1168",1990,2,1
"1169",1990,2,1
"1170",1990,3,4
"1171",1990,1,2
"1172",1990,1,1
"1173",1990,2,2
"1174",1990,3,3
"1175",1990,2,1
"1176",1990,2,1
"1177",1990,1,1
"1178",1990,2,2
"1179",1990,2,1
"1180",1990,1,1
"1181",1990,3,2
"1182",1990,1,1
"1183",1990,2,1
"1184",1990,2,1
"1185",1990,1,1
"1186",1990,1,1
"1187",1990,1,2
"1188",1990,1,1
"1189",1990,1,2
"1190",1990,1,1
"1191",1990,3,1
"1192",1990,5,4
"1193",1990,4,5
"1194",1990,1,1
"1195",1990,2,1
"1196",1990,2,1
"1197",1990,2,2
"1198",1990,2,3
"1199",1990,2,2
"1200",1990,2,2
"1201",1990,1,2
"1202",1990,1,1
"1203",1990,3,2
"1204",1990,5,4
"1205",1990,2,3
"1206",1990,3,5
"1207",1990,1,1
"1208",1990,2,1
"1209",1990,2,2
"1210",1990,1,1
"1211",1990,1,1
"1212",1990,1,1
"1213",1990,1,1
"1214",1990,2,2
"1215",1990,1,3
"1216",1990,1,1
"1217",1990,2,1
"1218",1990,2,2
"1219",1990,3,2
"1220",1990,1,1
"1221",1990,1,1
"1222",1990,1,2
"1223",1990,5,4
"1224",1990,5,5
"1225",1990,4,5
"1226",1990,3,3
"1227",1990,1,1
"1228",1990,2,2
"1229",1990,2,3
"1230",1990,5,4
"1231",1990,5,3
"1232",1990,3,2
"1233",1990,3,3
"1234",1990,5,3
"1235",1990,3,3
"1236",1990,3,2
"1237",1990,4,4
"1238",1990,3,2
"1239",1990,2,2
"1240",1990,2,2
"1241",1990,2,2
"1242",1990,2,2
"1243",1990,2,1
"1244",1990,2,1
"1245",1990,3,3
"1246",1990,2,2
"1247",1990,2,1
"1248",1990,1,2
"1249",1990,3,1
"1250",1990,5,5
"1251",1990,4,2
"1252",1990,3,3
"1253",1990,4,3
"1254",1990,4,4
"1255",1990,2,3
"1256",1990,2,2
"1257",1990,2,2
"1258",1990,2,3
"1259",1990,3,2
"1260",1990,2,1
"1261",1990,3,2
"1262",1990,2,3
"1263",1990,3,2
"1264",1990,2,2
"1265",1990,4,4
"1266",1990,2,1
"1267",1990,1,2
"1268",1990,2,2
"1269",1990,3,2
"1270",1990,2,2
"1271",1990,2,2
"1272",1990,3,2
"1273",1990,2,2
"1274",1990,1,2
"1275",1990,2,2
"1276",1990,2,2
"1277",1990,2,2
"1278",1990,2,3
"1279",1990,1,1
"1280",1990,2,2
"1281",1990,1,1
"1282",1990,3,4
"1283",1990,1,2
"1284",1990,2,2
"1285",1990,2,2
"1286",1990,2,2
"1287",1990,3,5
"1288",1990,1,1
"1289",1990,2,1
"1290",1990,1,1
"1291",1990,3,5
"1292",1990,3,2
"1293",1990,2,1
"1294",1990,1,3
"1295",1990,2,2
"1296",1990,1,2
"1297",1990,2,4
"1298",1990,3,5
"1299",1990,3,4
"1300",1990,5,5
"1301",1990,4,3
"1302",1990,2,2
"1303",1990,2,2
"1304",1990,5,5
"1305",1990,5,4
"1306",1990,5,4
"1307",1990,3,2
"1308",1990,2,2
"1309",1990,2,2
"1310",1990,2,2
"1311",1990,2,2
"1312",1990,2,2
"1313",1990,1,1
"1314",1990,4,5
"1315",1990,3,3
"1316",1990,2,3
"1317",1990,3,2
"1318",1990,1,3
"1319",1990,2,1
"1320",1990,4,3
"1321",1990,5,2
"1322",1990,2,1
"1323",1990,3,1
"1324",1990,4,1
"1325",1990,2,1
"1326",1990,2,3
"1327",1990,1,2
"1328",1990,2,2
"1329",1990,2,4
"1330",1990,3,3
"1331",1990,2,2
"1332",1990,2,2
"1333",1990,2,1
"1334",1990,2,2
"1335",1990,1,1
"1336",1990,2,2
"1337",1990,2,3
"1338",1990,5,4
"1339",1990,1,2
"1340",1990,1,1
"1341",1990,3,3
"1342",1990,5,5
"1343",1990,3,5
"1344",1990,3,3
"1345",1990,3,3
"1346",1990,4,4
"1347",1990,5,5
"1348",1990,5,3
"1349",1990,1,2
"1350",1990,3,3
"1351",1990,2,2
"1352",1990,3,3
"1353",1990,2,3
"1354",1990,2,2
"1355",1990,3,3
"1356",1990,5,2
"1357",1990,4,3
"1358",1990,5,3
"1359",1990,4,3
"1360",1990,3,2
