pid,wt,t,score,hs,ioo,wg,fair,most,feelings,gender,age,religion,race,inc,pol,educ
1,0,RE2,441,39.729729729729726,0.10270270270270265,0,Unfair,rules,sad,Female,51,catholic,white,"$50,000-$75,000",3,College Degree
0,0,RE2,669,60.27027027027027,0.10270270270270265,1,Unfair,luck,indifferent,Male,27,none,white,"$25,000-$50,000",5,Some College
0,0,RA2,515,NA,NA,1,Fair,luck,happy,Male,38,catholic,white,"$0-$25,000",3,High School
0,0,PR2,541,49.953831948291786,4.616805170821747e-4,1,Unfair,rules,happy,Female,30,other,white,"$25,000-$50,000",1,Some College
1,1,PR2,542,50.046168051708214,4.616805170821747e-4,0,Unfair,luck,sad,Female,31,protestant,white,"$25,000-$50,000",6,College Degree
1,1,RE1,542,48.00708591674048,0.019929140832595227,0,Unfair,luck,sad,Female,59,catholic,white,"$0-$25,000",6,High School
0,0,PR1,567,52.11397058823529,0.02113970588235292,0,Fair,luck,indifferent,Female,23,none,white,"$50,000-$75,000",2,High School
1,1,RE2,468,42.391304347826086,0.07608695652173914,0,Unfair,rules,angry,Female,32,other,white,"$50,000-$75,000",1,Some College
0,1,RE2,636,57.608695652173914,0.07608695652173914,1,Fair,rules,happy,Female,34,catholic,white,"$75,000+",3,College Degree
0,0,PR2,530,49.62546816479401,0.0037453183520599342,1,Fair,rules,happy,Female,31,protestant,white,"$0-$25,000",1,College Degree
1,0,PR2,538,50.37453183520599,0.0037453183520599342,0,Unfair,rules,angry,Female,59,catholic,white,"$50,000-$75,000",7,Some College
1,0,RA1,583,50.042918454935624,4.2918454935625405e-4,0,Unfair,luck,sad,Male,30,none,white,"$50,000-$75,000",5,College Degree
0,0,RA1,582,49.95708154506438,4.2918454935625405e-4,1,Fair,luck,happy,Male,30,none,white,"$75,000+",2,College Degree
1,1,RA1,479,43.944954128440365,0.06055045871559628,0,Unfair,rules,sad,Male,37,none,white,"$50,000-$75,000",4,Some College
0,0,RA1,611,56.05504587155963,0.06055045871559628,1,Fair,talent,happy,Male,38,none,white,"$25,000-$50,000",8,College Degree
0,1,RA2,591,52.254641909814325,0.022546419098143256,1,Fair,luck,happy,Female,53,protestant,white,"$25,000-$50,000",2,College Degree
1,0,RA2,563,49.9113475177305,8.865248226950229e-4,0,Unfair,luck,angry,Female,29,protestant,white,"$25,000-$50,000",5,Some College
0,1,RA2,565,50.0886524822695,8.865248226950229e-4,1,Fair,talent,happy,Female,26,none,white,"$0-$25,000",2,Some College
0,0,PR1,552,50.36496350364964,0.0036496350364964014,0,Unfair,luck,sad,Male,30,none,white,"$0-$25,000",2,College Degree
0,0,RA2,507,46.85767097966728,0.031423290203327126,0,Unfair,luck,angry,Female,23,none,white,"$25,000-$50,000",5,High School
1,0,RA1,558,47.73310521813516,0.022668947818648366,0,Unfair,rules,angry,Male,40,none,white,"$0-$25,000",1,High School
1,1,RA2,575,53.14232902033271,0.031423290203327126,1,Fair,rules,happy,Female,34,protestant,white,"$25,000-$50,000",7,High School
1,0,RA2,540,47.745358090185675,0.022546419098143256,0,Unfair,luck,indifferent,Male,58,none,white,"$0-$25,000",2,College Degree
1,1,PR1,544,49.63503649635037,0.0036496350364964014,1,Fair,luck,happy,Female,39,none,white,"$25,000-$50,000",4,High School
0,1,PR2,586,51.4486391571554,0.014486391571553958,1,Fair,luck,happy,Female,35,none,white,"$25,000-$50,000",9,Graduate/Professional Degree
1,1,PR2,553,48.5513608428446,0.014486391571553958,0,Unfair,rules,angry,Female,28,protestant,white,"$75,000+",9,College Degree
1,0,PR1,598,52.640845070422536,0.026408450704225372,0,Unfair,rules,indifferent,Female,61,catholic,white,"$50,000-$75,000",2,College Degree
0,1,PR1,538,47.359154929577464,0.026408450704225372,1,Unfair,rules,happy,Male,37,protestant,white,"$50,000-$75,000",9,Graduate/Professional Degree
1,1,PR1,521,47.88602941176471,0.02113970588235292,1,Fair,luck,happy,Female,41,protestant,white,"$50,000-$75,000",6,College Degree
0,0,RA2,577,49.870354364736386,0.0012964563526360884,0,Fair,luck,indifferent,Female,29,none,black,"$0-$25,000",5,Some College
1,1,RA2,580,50.12964563526361,0.0012964563526360884,1,Fair,luck,happy,Female,22,protestant,white,"$50,000-$75,000",5,Some College
1,0,RE1,519,44.81865284974093,0.051813471502590636,0,Unfair,luck,angry,Female,36,none,white,"$25,000-$50,000",5,College Degree
0,1,RE1,639,55.181347150259064,0.051813471502590636,1,Fair,talent,happy,Female,43,none,white,"$50,000-$75,000",8,College Degree
0,0,PR1,499,49.25962487660415,0.007403751233958533,0,Unfair,luck,indifferent,Female,26,none,white,"$25,000-$50,000",3,High School
0,0,PR1,544,47.845206684256816,0.021547933157431864,0,Unfair,luck,indifferent,Female,25,none,white,"$50,000-$75,000",4,Some College
1,1,PR1,593,52.154793315743184,0.021547933157431864,1,Fair,luck,happy,Male,62,protestant,white,"$75,000+",2,Graduate/Professional Degree
1,0,RE1,646,59.32047750229569,0.09320477502295688,1,Fair,talent,happy,Female,43,none,white,"$0-$25,000",3,Some College
0,0,RE1,443,40.67952249770432,0.09320477502295688,0,Unfair,luck,sad,Female,49,none,white,"$75,000+",1,College Degree
1,1,PR1,514,50.74037512339585,0.007403751233958533,1,Fair,luck,happy,Male,33,none,white,"$0-$25,000",2,College Degree
0,0,RA2,584,52.09634255129348,0.02096342551293484,1,Unfair,luck,happy,Female,38,protestant,white,"$75,000+",6,College Degree
1,0,RA2,537,47.90365744870651,0.02096342551293484,0,Unfair,rules,angry,Male,62,other,white,"$0-$25,000",2,College Degree
0,0,PR2,530,NA,NA,1,Fair,luck,happy,Male,61,protestant,white,"$50,000-$75,000",2,College Degree
1,1,RE1,563,48.53448275862069,0.014655172413793105,0,Unfair,luck,angry,Male,38,protestant,white,"$75,000+",6,Graduate/Professional Degree
0,0,RE1,597,51.46551724137931,0.014655172413793105,1,Fair,talent,happy,Male,34,none,latino,"$75,000+",3,Graduate/Professional Degree
1,0,PR2,567,49.60629921259843,0.003937007874015741,0,Unfair,rules,angry,Female,54,lutheran,white,"$50,000-$75,000",3,High School
0,1,PR2,576,50.39370078740157,0.003937007874015741,1,Fair,rules,happy,Male,47,protestant,NA,"$75,000+",5,College Degree
0,0,RE1,664,55.98650927487352,0.059865092748735194,1,Fair,talent,happy,Male,32,other,black,"$25,000-$50,000",2,Some College
1,0,RE1,522,44.01349072512647,0.059865092748735194,0,Unfair,rules,sad,Female,32,none,white,"$75,000+",2,College Degree
1,1,PR1,568,50,0,0,Unfair,luck,angry,Male,27,catholic,white,"$25,000-$50,000",5,College Degree
0,1,PR1,568,50,0,1,Fair,luck,happy,Male,34,none,white,"$25,000-$50,000",8,Some College
0,1,RA2,578,50.61295971978984,0.0061295971978984065,1,Unfair,luck,happy,Male,35,none,asian,"$50,000-$75,000",4,Some College
1,1,RA2,564,49.38704028021016,0.0061295971978984065,0,Unfair,luck,sad,Female,47,catholic,white,"$50,000-$75,000",4,College Degree
1,1,RA1,599,53.577817531305904,0.035778175313059046,1,Fair,luck,happy,Female,41,none,white,"$0-$25,000",1,College Degree
0,0,RA1,519,46.422182468694096,0.035778175313059046,0,Unfair,luck,angry,Male,27,none,white,"$25,000-$50,000",7,High School
1,0,PR1,573,NA,NA,0,Fair,talent,indifferent,Female,32,protestant,white,"$25,000-$50,000",6,Some College
0,1,PR2,535,47.21977052074139,0.027802294792586002,1,Fair,luck,happy,Male,28,catholic,white,"$50,000-$75,000",8,College Degree
1,0,PR2,598,52.7802294792586,0.027802294792586002,0,Unfair,luck,angry,Male,25,protestant,asian,"$75,000+",5,College Degree
0,0,RE1,599,56.13870665417057,0.06138706654170567,1,Fair,talent,happy,Male,22,none,white,"$25,000-$50,000",3,College Degree
1,0,RE1,468,43.86129334582943,0.06138706654170567,0,Fair,rules,indifferent,Female,26,other,white,"$25,000-$50,000",2,High School
1,1,RA1,528,48.13126709206928,0.018687329079307147,0,Unfair,luck,sad,Female,36,other,white,"$50,000-$75,000",9,Less than High School
0,0,RA1,569,51.86873290793071,0.018687329079307147,1,Fair,talent,happy,Female,31,protestant,white,"$75,000+",5,College Degree
0,0,RE2,448,39.195100612423445,0.1080489938757655,0,Unfair,rules,angry,Female,30,none,white,"$25,000-$50,000",5,Graduate/Professional Degree
1,0,RE2,695,60.80489938757655,0.1080489938757655,1,Fair,talent,happy,Male,50,catholic,white,"$50,000-$75,000",3,Graduate/Professional Degree
0,0,PR2,551,50.55045871559633,0.0055045871559632475,1,Unfair,rules,happy,Male,35,none,white,"$25,000-$50,000",3,Some College
0,1,PR1,576,50.48203330411919,0.004820333041191893,1,Fair,luck,happy,Male,36,none,white,"$25,000-$50,000",4,Some College
1,1,PR1,565,49.51796669588081,0.004820333041191893,0,Fair,luck,indifferent,Female,26,protestant,white,"$25,000-$50,000",8,Graduate/Professional Degree
1,0,PR2,539,49.44954128440367,0.0055045871559632475,0,Fair,talent,happy,Male,42,jewish,white,"$25,000-$50,000",6,College Degree
0,1,RE1,652,57.750221434898144,0.07750221434898141,1,Unfair,luck,happy,Male,42,catholic,white,"$50,000-$75,000",7,Some College
1,0,RE1,502,44.82142857142858,0.051785714285714324,0,Fair,luck,sad,Female,31,catholic,white,"$50,000-$75,000",1,College Degree
0,1,RE1,618,55.17857142857143,0.051785714285714324,1,Fair,talent,happy,Female,40,none,white,"$0-$25,000",1,Some College
1,1,RE2,434,39.526411657559194,0.10473588342440798,0,Unfair,rules,angry,Female,25,protestant,black,"$0-$25,000",2,College Degree
0,1,RE2,664,60.4735883424408,0.10473588342440798,1,Unfair,rules,happy,Female,50,protestant,white,"$75,000+",7,Some College
1,0,RE1,477,42.249778565101856,0.07750221434898141,0,Fair,luck,happy,Female,52,other,black,"$25,000-$50,000",3,Graduate/Professional Degree
0,0,RA1,611,52.266894781864835,0.022668947818648366,1,Fair,luck,happy,Female,67,protestant,white,"$0-$25,000",9,High School
0,0,PR2,586,49.32659932659932,0.006734006734006703,1,Fair,rules,happy,Male,24,protestant,white,"$25,000-$50,000",1,High School
1,0,PR2,602,50.67340067340067,0.006734006734006703,0,Fair,luck,indifferent,Male,45,none,white,"$75,000+",2,Graduate/Professional Degree
0,0,RA2,557,50.18018018018018,0.0018018018018017834,1,Fair,talent,happy,Female,33,none,black,"$25,000-$50,000",4,College Degree
1,1,RA2,553,49.81981981981982,0.0018018018018017834,0,Fair,talent,indifferent,Female,65,none,white,"$0-$25,000",2,College Degree
0,0,RA1,575,48.44144903117102,0.015585509688289756,1,Fair,rules,happy,Male,27,protestant,white,"$25,000-$50,000",5,College Degree
1,0,RA1,612,51.558550968828975,0.015585509688289756,0,Unfair,luck,sad,Female,44,catholic,asian,"$75,000+",2,College Degree
1,0,RE2,687,60.635481023830536,0.1063548102383054,1,Fair,luck,happy,Female,65,catholic,white,"$25,000-$50,000",6,High School
0,0,RE2,446,39.364518976169464,0.1063548102383054,0,Unfair,talent,angry,Female,44,jewish,white,"$25,000-$50,000",2,College Degree
0,0,PR2,505,48.095238095238095,0.01904761904761909,1,Fair,luck,happy,Male,26,none,latino,"$0-$25,000",3,College Degree
1,0,PR2,545,51.90476190476191,0.01904761904761909,0,Unfair,rules,sad,Male,57,protestant,white,"$0-$25,000",9,College Degree
1,0,RE2,698,60.59027777777778,0.10590277777777779,1,Unfair,rules,happy,Male,28,none,white,"$25,000-$50,000",2,College Degree
1,0,RE2,702,59.693877551020414,0.09693877551020413,1,Fair,rules,happy,Female,34,none,white,"$25,000-$50,000",1,Some College
0,1,RE2,454,39.40972222222222,0.10590277777777779,0,Unfair,luck,angry,Female,37,catholic,white,"$25,000-$50,000",4,Some College
0,1,RE2,474,40.30612244897959,0.09693877551020413,0,Unfair,luck,sad,Male,27,none,white,"$0-$25,000",3,Some College
1,0,RE1,660,56.79862306368331,0.06798623063683307,1,Fair,luck,happy,Female,41,none,white,"$75,000+",2,College Degree
0,0,RE1,502,43.20137693631669,0.06798623063683307,0,Fair,talent,sad,Female,31,other,white,"$0-$25,000",2,Some College
0,0,RE1,608,53.99644760213144,0.039964476021314366,1,Fair,rules,happy,Female,28,other,asian,"$75,000+",6,College Degree
1,1,RE1,518,46.00355239786856,0.039964476021314366,0,Fair,luck,happy,Female,28,other,white,"$50,000-$75,000",2,College Degree
1,1,RE2,705,59.44350758853288,0.09443507588532885,1,Fair,rules,happy,Female,31,other,white,"$50,000-$75,000",6,High School
0,0,RE2,444,40.25385312783318,0.09746146872166817,0,Fair,rules,sad,Female,46,none,white,"$75,000+",6,High School
1,1,RE2,659,59.74614687216682,0.09746146872166817,1,Unfair,luck,happy,NA,37,none,latino,"$50,000-$75,000",3,Some College
0,1,RE2,481,40.55649241146712,0.09443507588532885,0,Unfair,rules,angry,Male,25,none,white,"$0-$25,000",4,College Degree
1,1,RA1,526,45.42314335060449,0.04576856649395511,0,Unfair,luck,angry,Male,27,protestant,white,"$25,000-$50,000",5,High School
0,1,RA1,632,54.57685664939551,0.04576856649395511,1,Fair,talent,happy,Female,49,protestant,white,"$25,000-$50,000",6,Some College
0,0,RE2,446,39.644444444444446,0.10355555555555551,0,Unfair,luck,angry,Male,29,none,white,"$75,000+",9,College Degree
1,1,RE2,679,60.355555555555554,0.10355555555555551,1,Unfair,luck,happy,Male,40,protestant,white,"$0-$25,000",8,College Degree
1,0,PR1,523,48.605947955390334,0.013940520446096616,0,Fair,luck,indifferent,Female,43,none,white,"$75,000+",1,College Degree
0,1,PR1,553,51.39405204460966,0.013940520446096616,1,Unfair,luck,happy,Female,26,none,white,"$25,000-$50,000",4,High School
0,0,RE2,630,56.552962298025136,0.06552962298025133,1,Unfair,luck,happy,Female,48,protestant,white,"$50,000-$75,000",9,Some College
1,1,RE2,484,43.447037701974864,0.06552962298025133,0,Fair,luck,sad,Male,49,protestant,white,"$75,000+",8,College Degree
1,0,RA2,620,52.991452991452995,0.02991452991452992,0,Fair,talent,indifferent,Female,35,other,black,NA,5,Some College
0,0,RA2,550,47.008547008547005,0.02991452991452992,1,Fair,rules,happy,Male,40,none,white,"$0-$25,000",3,Some College
1,0,RA2,591,53.77616014558689,0.03776160145586893,1,Fair,talent,happy,Male,52,none,white,"$50,000-$75,000",2,College Degree
0,1,RE2,735,62.39388794567062,0.12393887945670623,1,Fair,luck,happy,Male,38,none,white,"$50,000-$75,000",3,Graduate/Professional Degree
0,0,RA2,508,46.2238398544131,0.03776160145586893,0,Unfair,luck,angry,Female,38,protestant,white,"$75,000+",9,College Degree
1,0,RE2,443,37.60611205432937,0.12393887945670623,0,Unfair,talent,sad,Male,35,protestant,white,"$25,000-$50,000",3,College Degree
0,0,PR1,587,50.69084628670121,0.006908462867012077,1,Fair,talent,happy,Female,40,protestant,black,"$75,000+",6,College Degree
1,1,PR1,571,49.30915371329879,0.006908462867012077,0,Fair,luck,sad,Female,61,none,white,"$0-$25,000",1,High School
0,1,PR2,526,46.92239072256913,0.030776092774308705,0,Fair,luck,indifferent,Female,43,protestant,white,"$0-$25,000",9,Some College
1,1,PR2,595,53.077609277430874,0.030776092774308705,1,Fair,talent,happy,Male,29,other,white,"$50,000-$75,000",3,High School
1,1,RE1,595,54.48717948717948,0.04487179487179482,1,Fair,luck,happy,Female,31,protestant,white,"$25,000-$50,000",9,College Degree
0,0,RA1,605,51.0548523206751,0.010548523206751037,1,Fair,luck,happy,Male,37,none,white,"$75,000+",7,College Degree
0,0,RE1,497,45.51282051282051,0.04487179487179482,0,Unfair,luck,angry,Female,27,jewish,white,"$50,000-$75,000",5,Some College
1,0,RA1,580,48.9451476793249,0.010548523206751037,0,Unfair,luck,indifferent,Female,38,other,black,"$0-$25,000",1,Some College
0,1,PR1,567,NA,NA,1,Fair,luck,happy,Male,35,none,white,"$25,000-$50,000",5,Some College
0,1,PR1,538,49.9535747446611,4.642525533889996e-4,1,Fair,talent,happy,Female,33,none,black,"$25,000-$50,000",7,Some College
1,0,PR1,539,50.0464252553389,4.642525533889996e-4,0,Unfair,rules,sad,Female,41,protestant,white,"$25,000-$50,000",5,High School
0,0,RE2,661,59.87318840579711,0.09873188405797106,1,Unfair,rules,happy,Male,55,catholic,white,"$50,000-$75,000",5,College Degree
1,1,RE2,443,40.1268115942029,0.09873188405797106,0,Unfair,luck,sad,Male,24,none,white,"$0-$25,000",1,Some College
0,1,RE2,560,49.645390070921984,0.0035460992907800915,0,Fair,luck,happy,Female,44,protestant,white,"$25,000-$50,000",6,Some College
1,1,RE2,568,50.35460992907801,0.0035460992907800915,1,Fair,rules,happy,Male,23,jewish,white,"$50,000-$75,000",2,Graduate/Professional Degree
1,0,RE2,433,38.04920913884007,0.11950790861159932,0,Unfair,rules,sad,Female,70,NA,white,"$50,000-$75,000",4,Graduate/Professional Degree
1,1,RA2,514,47.112740604949586,0.028872593950504122,0,Unfair,rules,indifferent,Female,59,none,white,"$25,000-$50,000",5,College Degree
0,1,RA2,577,52.887259395050414,0.028872593950504122,1,Fair,luck,happy,Male,25,none,white,"$0-$25,000",1,Some College
0,1,RE2,705,61.95079086115993,0.11950790861159932,1,Unfair,rules,happy,Female,25,protestant,white,"$50,000-$75,000",5,College Degree
0,0,RE2,452,40.647482014388494,0.09352517985611508,0,Fair,luck,sad,Female,43,protestant,white,"$50,000-$75,000",7,College Degree
1,0,RE2,660,59.352517985611506,0.09352517985611508,1,Fair,talent,happy,Male,52,catholic,white,"$25,000-$50,000",6,High School
1,0,PR1,586,51.76678445229682,0.017667844522968212,1,Fair,talent,happy,Female,24,catholic,latino,"$75,000+",8,Graduate/Professional Degree
0,1,PR1,546,48.23321554770318,0.017667844522968212,0,Unfair,luck,angry,Male,28,none,white,"$0-$25,000",4,Some College
0,0,PR2,514,NA,NA,0,Unfair,rules,sad,Female,30,none,white,"$50,000-$75,000",3,Graduate/Professional Degree
0,0,PR1,552,49.32975871313673,0.006702412868632712,1,Unfair,luck,happy,Male,25,none,white,"$0-$25,000",2,Some College
1,1,PR1,567,50.67024128686327,0.006702412868632712,0,Unfair,luck,indifferent,Male,35,none,latino,"$0-$25,000",4,Some College
0,0,PR1,553,51.58582089552238,0.01585820895522383,1,Unfair,luck,happy,Female,34,catholic,white,"$75,000+",7,College Degree
1,0,PR1,519,48.41417910447761,0.01585820895522383,0,Unfair,luck,sad,Female,26,none,white,"$50,000-$75,000",2,College Degree
1,1,PR1,557,50.82116788321168,0.00821167883211682,1,Fair,luck,happy,Male,34,catholic,latino,"$75,000+",2,College Degree
0,1,PR1,539,49.17883211678832,0.00821167883211682,0,Unfair,luck,angry,Male,26,none,white,"$25,000-$50,000",5,Graduate/Professional Degree
0,0,PR1,551,48.890860692102926,0.011091393078970668,1,Fair,luck,happy,Female,55,protestant,white,"$0-$25,000",6,College Degree
0,0,PR1,547,48.92665474060823,0.01073345259391767,1,Fair,luck,happy,Male,28,other,white,"$25,000-$50,000",2,Some College
1,0,PR1,571,51.073345259391765,0.01073345259391767,0,Unfair,talent,angry,Female,32,catholic,black,"$75,000+",5,College Degree
1,0,PR1,576,51.10913930789707,0.011091393078970668,0,Fair,talent,indifferent,Female,32,none,white,"$50,000-$75,000",5,High School
0,1,RA1,556,50.407978241160464,0.004079782411604671,1,Fair,luck,happy,Female,65,catholic,white,"$75,000+",4,Some College
1,1,RA1,547,49.59202175883953,0.004079782411604671,0,Unfair,luck,happy,Male,60,protestant,latino,"$75,000+",7,Some College
0,1,PR2,600,51.23825789923142,0.012382578992314208,1,Fair,talent,happy,Female,39,none,white,"$25,000-$50,000",3,Some College
1,1,PR2,571,48.76174210076857,0.012382578992314208,0,Unfair,rules,indifferent,Male,47,none,white,"$50,000-$75,000",1,Some College
0,0,RE1,644,56.64028144239226,0.0664028144239226,1,Fair,luck,happy,Male,42,catholic,white,"$50,000-$75,000",4,College Degree
1,1,RE1,493,43.35971855760774,0.0664028144239226,0,Fair,luck,indifferent,Male,36,protestant,black,"$25,000-$50,000",4,Some College
1,1,PR1,585,51.45118733509235,0.014511873350923521,0,Unfair,luck,angry,Female,27,none,white,"$25,000-$50,000",1,College Degree
0,1,PR1,552,48.54881266490765,0.014511873350923521,1,Fair,rules,happy,Female,54,protestant,white,"$0-$25,000",8,Some College
0,0,RE1,637,55.343179843614244,0.05343179843614243,1,Fair,rules,happy,Female,32,none,white,"$25,000-$50,000",3,College Degree
1,1,RE1,514,44.65682015638575,0.05343179843614243,0,Unfair,luck,angry,Female,31,none,white,"$75,000+",2,College Degree
0,0,RA2,547,49.41282746160795,0.005871725383920556,1,Fair,luck,happy,Female,49,protestant,white,"$50,000-$75,000",9,High School
1,0,RA2,560,50.58717253839205,0.005871725383920556,0,Fair,talent,sad,Female,59,protestant,white,"$25,000-$50,000",9,College Degree
0,0,RA2,526,45.73913043478261,0.042608695652173956,0,Fair,talent,indifferent,Female,44,none,white,"$50,000-$75,000",8,High School
0,1,RE1,598,54.81209899175069,0.04812098991750691,1,Fair,talent,happy,Male,39,none,white,"$0-$25,000",2,College Degree
1,0,RA2,624,54.2608695652174,0.042608695652173956,1,Fair,talent,happy,Female,36,none,white,"$75,000+",3,Graduate/Professional Degree
1,1,RE1,493,45.18790100824931,0.04812098991750691,0,Unfair,luck,indifferent,Female,49,protestant,black,"$25,000-$50,000",5,College Degree
0,1,RE1,637,56.824264049955396,0.06824264049955397,1,Unfair,rules,happy,Female,48,none,white,"$0-$25,000",1,Graduate/Professional Degree
1,1,RE1,484,43.175735950044604,0.06824264049955397,0,Unfair,luck,angry,Female,24,none,asian,"$50,000-$75,000",2,Some College
0,1,RA1,529,48.755760368663594,0.01244239631336408,1,Fair,luck,happy,Female,24,protestant,latino,"$25,000-$50,000",5,High School
1,1,RA1,556,51.244239631336406,0.01244239631336408,0,Fair,luck,sad,Male,49,protestant,white,"$75,000+",8,Some College
