personLabel,person_ID,genderLabel,nacionalidadLabel,occupationLabel,category,decade,birthyear,birthdate,birthdate2,birthcountry,birthplaceLabel,birthpoint,birthpoint2,lat_birth,lon_birth,deathyear,deathdate,deathplaceLabel,deathpoint,deathpoint2,lat_death,lon_death,languages,image,sitelink,Occupation1,Occupation2,Occupation3,Occupation4,Occupation5,Occupation6,Occupation7,Occupation8,Occupation9,Occupation10,Occupation11,Occupation12,Occupation13,Occupation14,Occupation15,Occupation16,Occupation17,Occupation18,Occupation19,Occupation20,Occupation21,Occupation22,Occupation23,Occupation24
Mon Laferte,http://www.wikidata.org/entity/Q2836528,femenino,México,"compositor, pintor, guitarrista, actor, cantante",Arte,1980,1983,1983-05-02T00:00:00Z,5/2/1983,http://www.wikidata.org/entity/Q298,Viña del Mar,Point(-71.5518 -33.0245),"-33.024, -71.5518",-33.024,-71.552,,,,,,,,18,http://commons.wikimedia.org/wiki/Special:FilePath/MX%20TV%20GESTOS%20MON%20LAFERTE%20%2849651087132%29%20%28cropped%29.jpg,https://es.wikipedia.org/wiki/Mon_Laferte,compositor, pintor, guitarrista, actor, cantante,,,,,,,,,,,,,,,,,,,
Grete Mostny,http://www.wikidata.org/entity/Q5885682,femenino,Austria,"museólogo, prehistoriador, antropólogo, arqueólogo, etnólogo",Ciencia y tecnología,1910,1914,1914-09-17T00:00:00Z,9/17/1914,http://www.wikidata.org/entity/Q40,Linz,Point(14.286388888 48.305833333),"48.30583333, 14.286388888",48.306,14.286,1991,1991-12-15T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,18,http://commons.wikimedia.org/wiki/Special:FilePath/Grete%20Mostny%20Glaser.jpg,https://es.wikipedia.org/wiki/Grete_Mostny,museólogo, prehistoriador, antropólogo, arqueólogo, etnólogo,,,,,,,,,,,,,,,,,,,
Adelina Gutiérrez,http://www.wikidata.org/entity/Q19803039,femenino,Chile,"académico, astrofísico",Ciencia y tecnología,1920,1925,1925-05-27T00:00:00Z,5/27/1925,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,2015,2015-04-11T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,17,,https://es.wikipedia.org/wiki/Adelina_Guti%C3%A9rrez,académico, astrofísico,,,,,,,,,,,,,,,,,,,,,,
Adriana Hoffmann,http://www.wikidata.org/entity/Q5658346,femenino,Chile,"biólogo, botánico, divulgador científico",Ciencia y tecnología,1940,1940,1940-01-29T00:00:00Z,1/29/1940,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,2022,2022-03-20T00:00:00Z,,,,,,17,http://commons.wikimedia.org/wiki/Special:FilePath/Adriana%20Hoffmann%201991.jpg,https://es.wikipedia.org/wiki/Adriana_Hoffmann,biólogo, botánico, divulgador científico,,,,,,,,,,,,,,,,,,,,,
Juan Ramsay,http://www.wikidata.org/entity/Q5952184,masculino,Chile,futbolista,Deporte,1870,1879,1879-01-01T00:00:00Z,1/1/1879,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,1940,1940-01-01T00:00:00Z,,,,,,2,http://commons.wikimedia.org/wiki/Special:FilePath/Juan%20Ramsay%2C%20Los%20Sports%2C%201923-05-25%20%2811%29.jpg,https://es.wikipedia.org/wiki/Juan_Ramsay,futbolista,,,,,,,,,,,,,,,,,,,,,,,
Rebeca Matte Bello,http://www.wikidata.org/entity/Q3338913,femenino,Chile,"escultor, pintor",Arte,1870,1875,1875-10-29T00:00:00Z,10/29/1875,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,1929,1929-05-14T00:00:00Z,Fiesole,Point(11.3 43.8),"43, 11.3",43.000,11.300,16,http://commons.wikimedia.org/wiki/Special:FilePath/Rebeca%20Matte.jpg,https://es.wikipedia.org/wiki/Rebeca_Matte,escultor, pintor,,,,,,,,,,,,,,,,,,,,,,
Paulina García,http://www.wikidata.org/entity/Q6067444,femenino,Chile,"director de teatro, dramaturgo, actor",Arte,1960,1960,1960-11-27T00:00:00Z,11/27/1960,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,16,http://commons.wikimedia.org/wiki/Special:FilePath/Paulina%20Garc%C3%ADa%20anfitriona%20Premios%20F%C3%A9nix%202017%20%28cropped%29.jpg,https://es.wikipedia.org/wiki/Paulina_Garc%C3%ADa,director de teatro, dramaturgo, actor,,,,,,,,,,,,,,,,,,,,,
Luis Subercaseaux,http://www.wikidata.org/entity/Q1184876,masculino,Chile,"diplomático, futbolista, atleta",Deporte,1880,1882,1882-05-10T00:00:00Z,5/10/1882,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,1973,1973-01-01T00:00:00Z,,,,,,14,,https://es.wikipedia.org/wiki/Luis_Subercaseaux,diplomático, futbolista, atleta,,,,,,,,,,,,,,,,,,,,,
Hortensia Bussi,http://www.wikidata.org/entity/Q2443186,femenino,Chile,"activista por los derechos humanos, político",Otra,1910,1914,1914-07-22T00:00:00Z,7/22/1914,http://www.wikidata.org/entity/Q298,Rancagua,Point(-70.739805555 -34.165388888),"-34.16538888, -70.739805555",-34.165,-70.740,2009,2009-06-18T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,16,http://commons.wikimedia.org/wiki/Special:FilePath/Hortensia%20Bussi%20-%20Salvador%20Allende.jpg,https://es.wikipedia.org/wiki/Hortensia_Bussi,activista por los derechos humanos, político,,,,,,,,,,,,,,,,,,,,,,
Lucía Hiriart,http://www.wikidata.org/entity/Q2287542,femenino,Chile,"político, primera dama",Política,1920,1923,1923-12-10T00:00:00Z,12/10/1923,http://www.wikidata.org/entity/Q298,Antofagasta,Point(-70.398055555 -23.646388888),"-23.64638888, -70.398055555",-23.646,-70.398,2021,2021-12-16T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,16,http://commons.wikimedia.org/wiki/Special:FilePath/Luc%C3%ADa%20Hiriart.JPG,https://es.wikipedia.org/wiki/Luc%C3%ADa_Hiriart,político, primera dama,,,,,,,,,,,,,,,,,,,,,,
Marta Brunet,http://www.wikidata.org/entity/Q275648,femenino,Chile,"diplomático, novelista",Arte,1890,1897,1897-08-09T00:00:00Z,8/9/1897,http://www.wikidata.org/entity/Q298,Chillán,Point(-72.1033 -36.6067),"-36.606, -72.1033",-36.606,-72.103,1967,1967-10-27T00:00:00Z,Montevideo,Point(-56.166666666 -34.866666666),"-34.86666666, -56.166666666",-34.867,-56.167,15,http://commons.wikimedia.org/wiki/Special:FilePath/Marta%20Brunet%20%281943%29.JPG,https://es.wikipedia.org/wiki/Marta_Brunet,diplomático, novelista,,,,,,,,,,,,,,,,,,,,,,
Marta Colvin,http://www.wikidata.org/entity/Q578443,femenino,Chile,"escultor, pintor",Arte,1900,1907,1907-06-22T00:00:00Z,6/22/1907,http://www.wikidata.org/entity/Q298,Chillán,Point(-72.1033 -36.6067),"-36.606, -72.1033",-36.606,-72.103,1995,1995-10-27T00:00:00Z,Valparaíso,Point(-71.619722222 -33.046111111),"-33.04611111, -71.619722222",-33.046,-71.620,15,,https://es.wikipedia.org/wiki/Marta_Colvin,escultor, pintor,,,,,,,,,,,,,,,,,,,,,,
Elizabeth Avellán Ochoa,http://www.wikidata.org/entity/Q465517,femenino,Estados Unidos,"productor, actor de cine, actor, animador, cantante, productor de cine",Arte,1960,1960,1960-11-08T00:00:00Z,11/8/1960,http://www.wikidata.org/entity/Q717,Caracas,Point(-66.933333333 10.5),"10, -66.933333333",10.000,-66.933,,,,,,,,15,,https://es.wikipedia.org/wiki/Elizabeth_Avell%C3%A1n,productor, actor de cine, actor, animador, cantante, productor de cine,,,,,,,,,,,,,,,,,,
Margot Duhalde Sotomayor,http://www.wikidata.org/entity/Q5997182,femenino,Chile,"piloto de aeronaves, militar",Ciencia y tecnología,1920,1920,1920-12-12T00:00:00Z,12/12/1920,http://www.wikidata.org/entity/Q298,Río Bueno,Point(-72.9568 -40.3337),"-40.333, -72.9568",-40.333,-72.957,2018,2018-02-05T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,15,http://commons.wikimedia.org/wiki/Special:FilePath/Margot%20Duhalde%20ATA.png,https://es.wikipedia.org/wiki/Margot_Duhalde,piloto de aeronaves, militar,,,,,,,,,,,,,,,,,,,,,,
Marta Harnecker,http://www.wikidata.org/entity/Q452797,femenino,Chile,"psicólogo, sociólogo, filósofo, escritor, periodista",Ciencia y tecnología,1930,1937,1937-01-18T00:00:00Z,1/18/1937,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,2019,2019-06-15T00:00:00Z,Vancouver,Point(-123.113888888 49.260833333),"49.26083333, -123.113888888",49.261,-123.114,15,http://commons.wikimedia.org/wiki/Special:FilePath/%28Martha%20Harnecker%29%20Lanzamiento%20del%20libro%20%E2%80%9CEcuador-%20una%20nueva%20izquierda%20en%20busca%20de%20la%20vida%20en%20plenitud%E2%80%9D%20de%20Martha%20Harnecker%20%286053417074%29.jpg,https://es.wikipedia.org/wiki/Marta_Harnecker,psicólogo, sociólogo, filósofo, escritor, periodista,,,,,,,,,,,,,,,,,,,
Hil Hernández,http://www.wikidata.org/entity/Q1036356,femenino,Chile,"participante en concursos de belleza, modelo",Arte,1980,1983,1983-12-01T00:00:00Z,12/1/1983,http://www.wikidata.org/entity/Q298,Castro,Point(-73.7643 -42.4824),"-42.482, -73.7643",-42.482,-73.764,,,,,,,,14,http://commons.wikimedia.org/wiki/Special:FilePath/Hilhernandez.png,https://es.wikipedia.org/wiki/Hil_Hern%C3%A1ndez,participante en concursos de belleza, modelo,,,,,,,,,,,,,,,,,,,,,,
Luisa Eugenia Navas,http://www.wikidata.org/entity/Q5694204,femenino,Chile,botánico,Ciencia y tecnología,1920,1920,1920-07-27T00:00:00Z,7/27/1920,http://www.wikidata.org/entity/Q298,Chillán,Point(-72.1033 -36.6067),"-36.606, -72.1033",-36.606,-72.103,2020,2020-11-18T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,14,http://commons.wikimedia.org/wiki/Special:FilePath/Luisa%20Eugenia%20Navas.jpg,https://es.wikipedia.org/wiki/Luisa_Eugenia_Navas,botánico,,,,,,,,,,,,,,,,,,,,,,,
Alberto Warnken,http://www.wikidata.org/entity/Q579518,masculino,Chile,"árbitro de fútbol, periodista, atleta",Deporte,1880,1889,1889-02-01T00:00:00Z,2/1/1889,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,1944,1944-09-14T00:00:00Z,,,,,,8,http://commons.wikimedia.org/wiki/Special:FilePath/Alberto%20Warnken%2C%20Los%20Sports%2C%201930-05-30%20%28377%29.jpg,https://es.wikipedia.org/wiki/Alberto_Warnken,árbitro de fútbol, periodista, atleta,,,,,,,,,,,,,,,,,,,,,
Otto Junge,http://www.wikidata.org/entity/Q2784961,masculino,Alemania,ajedrecista,Deporte,1880,1887,1887-01-01T00:00:00Z,1/1/1887,http://www.wikidata.org/entity/Q298,Concepción,Point(-73.050277777 -36.826944444),"-36.82694444, -73.050277777",-36.827,-73.050,1978,1978-01-01T00:00:00Z,Alemania,Point(10.0 51.0),"51, 10",51.000,10.000,6,,https://es.wikipedia.org/wiki/Otto_Junge,ajedrecista,,,,,,,,,,,,,,,,,,,,,,,
Gladys Marín,http://www.wikidata.org/entity/Q273925,femenino,Chile,"político, profesor",Política,1940,1941,1941-07-16T00:00:00Z,7/16/1941,http://www.wikidata.org/entity/Q298,Curepto,Point(-72.016666666 -35.083333333),"-35.08333333, -72.016666666",-35.083,-72.017,2005,2005-03-06T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,14,http://commons.wikimedia.org/wiki/Special:FilePath/Gladys%20Mar%C3%ADn%20M.jpg,https://es.wikipedia.org/wiki/Gladys_Mar%C3%ADn,político, profesor,,,,,,,,,,,,,,,,,,,,,,
Elisa Loncon,http://www.wikidata.org/entity/Q106904381,femenino,Chile,"traductor, lingüista, investigador, profesor de lengua, ensayista, activista, escritor",Humanidades,1960,1963,1963-01-23T00:00:00Z,1/23/1963,http://www.wikidata.org/entity/Q298,Traiguén,Point(-72.683333333 -38.25),"-38.2, -72.683333333",-38.200,-72.683,,,,,,,,14,http://commons.wikimedia.org/wiki/Special:FilePath/Elisa%20Loncon%20Antileo.jpg,https://es.wikipedia.org/wiki/Elisa_Loncon,traductor, lingüista, investigador, profesor de lengua, ensayista, activista, escritor,,,,,,,,,,,,,,,,,
Cecilia Morel,http://www.wikidata.org/entity/Q4164742,femenino,Chile,"consejero matrimonial y familiar, político",Otra,1950,1954,1954-01-14T00:00:00Z,1/14/1954,http://www.wikidata.org/entity/Q298,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,,,,,,,,14,http://commons.wikimedia.org/wiki/Special:FilePath/Cecilia%20morel.jpg,https://es.wikipedia.org/wiki/Cecilia_Morel,consejero matrimonial y familiar, político,,,,,,,,,,,,,,,,,,,,,,
Adriana Salvatierra,http://www.wikidata.org/entity/Q60676640,femenino,Chile,político,Política,1980,1989,1989-06-03T00:00:00Z,6/3/1989,http://www.wikidata.org/entity/Q750,Santa Cruz de la Sierra,Point(-63.1975 -17.789166666),"-17.78916666, -63.1975",-17.789,-63.198,,,,,,,,14,http://commons.wikimedia.org/wiki/Special:FilePath/Adriana%20Salvatierra%20%28cropped%29.jpg,https://es.wikipedia.org/wiki/Adriana_Salvatierra,político,,,,,,,,,,,,,,,,,,,,,,,
Teresa Wilms Montt,http://www.wikidata.org/entity/Q9086143,femenino,Chile,"poeta, escritor",Arte,1890,1893,1893-09-08T00:00:00Z,9/8/1893,http://www.wikidata.org/entity/Q298,Viña del Mar,Point(-71.5518 -33.0245),"-33.024, -71.5518",-33.024,-71.552,1921,1921-01-01T00:00:00Z,París,Point(2.352222222 48.856666666),"48.85666666, 2.352222222",48.857,2.352,13,http://commons.wikimedia.org/wiki/Special:FilePath/Teresa%20Wilms%20Montt.jpg,https://es.wikipedia.org/wiki/Teresa_Wilms_Montt,poeta, escritor,,,,,,,,,,,,,,,,,,,,,,
María Luisa Bombal,http://www.wikidata.org/entity/Q273156,femenino,Francia,"editor, novelista, cronista, profesora de literatura francesa, guionista, escritor, escritor de cuentos",Arte,1910,1910,1910-06-08T00:00:00Z,6/8/1910,http://www.wikidata.org/entity/Q298,Viña del Mar,Point(-71.5518 -33.0245),"-33.024, -71.5518",-33.024,-71.552,1980,1980-05-06T00:00:00Z,Santiago ,Point(-70.65 -33.4375),"-33.437, -70.65",-33.437,-70.650,13,http://commons.wikimedia.org/wiki/Special:FilePath/Mar%C3%ADa%20Luisa%20Bombal.JPG,https://es.wikipedia.org/wiki/Mar%C3%ADa_Luisa_Bombal,editor, novelista, cronista, profesora de literatura francesa, guionista, escritor, escritor de cuentos,,,,,,,,,,,,,,,,,
Margot Loyola,http://www.wikidata.org/entity/Q3290634,femenino,Chile,"pianista, compositor de canciones, músico, guitarrista, cantante",Arte,1910,1918,1918-09-15T00:00:00Z,9/15/1918,http://www.wikidata.org/entity/Q298,Linares,Point(-71.5979 -35.8454),"-35.845, -71.5979",-35.845,-71.598,2015,2015-08-03T00:00:00Z,La Reina,Point(-70.55 -33.45),"-33.4, -70.55",-33.400,-70.550,13,http://commons.wikimedia.org/wiki/Special:FilePath/Margot%20Loyola%20en%202014%202.jpg,https://es.wikipedia.org/wiki/Margot_Loyola,pianista, compositor de canciones, músico, guitarrista, cantante,,,,,,,,,,,,,,,,,,,
